MiniProgram productId,stable SKU,商品,规格,售价分,当前资格,OS Product ID,OS SKU,OS状态,黑名单,口味选择,明确状态
bb,sku-3c0e3bc4f1c2c074369b5dc1c13d092e240a93f51f6e888f407180da4034f28d,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b2,b3,b6",MAPPED_ELIGIBLE
bb,sku-9cdbbe6d6ffea6e02c4bca280ce410dfd60c35f67ccb18163b23a3efd047c20f,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b2,b4,b4",MAPPED_ELIGIBLE
bb,sku-2c6aea53230570f1a3887b72264c2cfd0d55c8fecd0577a18ae6dac2d1d248b4,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b2,b4,b5",MAPPED_ELIGIBLE
bb,sku-3c2c30c2f7d8ac5a1b1d2e9c6ec8bcad9e5a9c5222643eb2269e150e2cd93de4,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b2,b4,b6",MAPPED_ELIGIBLE
bb,sku-db333ba4a2b7cd724be155f83690ba29d75fc7279d073ed3924f4c6c19227172,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b2,b5,b5",MAPPED_ELIGIBLE
bb,sku-cfda2872f4561531ef3e52ada26b9ec641a6b902bc9941c88c8df4bfea4ab758,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b2,b5,b6",MAPPED_ELIGIBLE
bb,sku-2f3a8ae8db4386252c84cb3c3751c5f7fcb91ee0d02ccec756d90f0a78052fbf,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b2,b6,b6",MAPPED_ELIGIBLE
bb,sku-86e84c523860e77d12e135c184cb8054e6fe1d3d5d8d137a9d030bad9cbf1b6a,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b3,b3,b3",MAPPED_ELIGIBLE
bb,sku-22ad99c62d66bce183af74150f4ae6a1c3ef3bbe53d42f698a493879a7c8dd08,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b3,b3,b4",MAPPED_ELIGIBLE
bb,sku-b4d9f9cf6d45d13b4099dc450b7799dbf394b5bdff05f228a5010ac26a9ef664,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b3,b3,b5",MAPPED_ELIGIBLE
bb,sku-515e0e65408130746c18d5af49be1c9c8df445ceab1d63d8fc73fbeb97e515db,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b3,b3,b6",MAPPED_ELIGIBLE
bb,sku-d478894c8bc3da41ae60b1431c3207f5c1973cecf5b68472211da6c92391b9e2,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b3,b4,b4",MAPPED_ELIGIBLE
bb,sku-103f0c791ca5001f308a5af8b442f540239c9ca7d20f3c5e0bc9faf7d9af475e,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b3,b4,b5",MAPPED_ELIGIBLE
bb,sku-6562f2cd20acc567b6e39125b8f874721f840e35adce180daf9b2f2b5607e8c9,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b3,b4,b6",MAPPED_ELIGIBLE
bb,sku-e85f79b52929a83836f490c112dd3a88c4376f617f1b5c36054ee175b28eb454,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b3,b5,b5",MAPPED_ELIGIBLE
bb,sku-89870919b15fb9dabba4498571b19500a78e81af4e985f11c22f66a80c495755,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b3,b5,b6",MAPPED_ELIGIBLE
bb,sku-7dd729f33bd45a9199b3099a1a6c533d7c09010d1ea39e4a672a6e14e87c2c9d,Balls-礼盒,4款自由搭配/盒,29900,True,it-fb77c912-793c-428c-a200-b4f873594496,BUDU-BALLS-BOX-4,ACTIVE,NO,"b1,b3,b6,b6",MAPPED_ELIGIBLE
